text,true_emotion,predicted_emotion
wow. how arrogant of him /s,anger,anger
"without googling it? are you kidding? (please don't look up ""kidding"" in the dictionary.)",anger,surprise
sometimes when it gets super annoying i cut it off with scissors but it always turns out worse and makes all the surrounding ones irritated and sore,anger,disgust
just goes to show it takes 0 skill to play that hero,anger,anger
the guy on that wouldn’t let [name] touch his own boat,anger,disgust
do you need someone to talk to [name]? your comment history is pretty disconcerting.,anger,fear
hmm thank you. i am not good with words. can you please elaborate if there is any distinction?,anger,sadness
"no its an edited one by someone on this sub, i can't find it though. ",anger,surprise
"why the fuck would you go for pizza, subs or pork rolls in texas?",anger,anger
the analogy was in relation to placing the blame for your unrealistic wants and needs on the person who is denying you them.,anger,anger
"i pirated this movie last night and can confirm: it's truly awful. not just lacking in good, but *aggressively* bad.",anger,disgust
just gotta day that age gap might have something to do with this. i bet he hates that dang rap music too.,anger,anger
let the holiday office and epidemic office fight it out first ~ i’ve gone nowhere these seven days except grocery shopping — might as well be working.,anger,sadness
"there are good reasons but you potatos just brush it all off with ""hurr life is bad cause bad things happen sometimes""",anger,anger
blood is boiling,anger,anger
"i genuinely don't think he is. those features with a friendly smile or a cheeky grin, backed up by a good personality could totally get it.",anger,joy
"true, but it is deceptive when dealing with c diff, it may give them a false sense of security.",anger,disgust
damn! do they think guangzhou people are pushovers? these folks are breaking laws — time to call in riot police!,anger,anger
"thanks, got traded from the habs and i remembered liking his game during pre season, was wondering why he got sent down. oh, and fuck [name]",anger,anger
no. not the i. :(,anger,sadness
"no sidewalk, just a simple two way, single lane street with crazy traffic going either direction.",fear,surprise
[name] was the same in crestwood. scary as hell.,fear,fear
there was a thread about a month ago:,fear,surprise
"everytime i see something in this sub that looks sharp, i get very worried. ",fear,fear
"in case you're wondering, nintendo does put a bittering agent in their switch cartridges...and it tastes horrible. ",fear,disgust
my venomous snake story is less awesome but the end result is the same:,fear,surprise
"so i left the room, went outside and settled once again for going through my mess in my head.",fear,sadness
i can't bend or twist my head and no lifting anything over 10 pounds.,fear,fear
"she opened the door of the moving vehicle, jumped out, and landed on her feet.",fear,surprise
obama admin rejects texas plan to have refugees vetted for terrorism so texas pulls of of fed refugee resettlement program. aiding .,fear,anger
@rjah_nhs @chrishudson76 @mbrandreth #course day # potential leadership #excited #nervous # proud,fear,joy
i'm now scared to post this link]( i guess i should [stop.,fear,fear
"police got called, guy gets taken away.",fear,fear
plz no foul trouble,fear,anger
"@thealexpeace not bad at all, think may come back to haunt you's",fear,surprise
@guardianaus @paul_karp maybe 49% support no #muslim immigration cos they perceive the risk of #islamist ideology &amp; #terrorism as too high?,fear,disgust
i was staying at a supposedly haunted hotel with some friends.,fear,fear
"[name] i love this ""no one can be this happy, what a horrible person he must be""",fear,joy
is a really worrying bench,fear,fear
"laughing about it, we went back up the beach to go home, when we heard a huge bang and saw a bright white flash up by where the houses were.",fear,surprise
enjoy your gold!,joy,joy
get her a gigolo. you don’t stop liking sex when you’re old,joy,surprise
"lol. unfortunately, yes. >sigh<",joy,sadness
"all they see is ea bad, this whole sub is coming full circle jerk now.",joy,anger
almost [name] can do it !!,joy,joy
omg this sub is gonna be my saving grace for the rest of the year. thank you so much!!,joy,joy
yeah thankfully i live in mass where it’s legal here too lol,joy,joy
i've seen some unfunny comment sections on r/jokes but this one takes the cake.,joy,anger
one more step in long work #visa process is over. relief. onto next step. #expat ,joy,joy
"i wish they would have focused on them in the first movie, and slowly handed the torch off to the next gen by the 3rd.",joy,sadness
"> salt rifles. but then how will we kill the flies??? /s im sorry, i had to.",joy,surprise
i love seeing the crowd's reaction to that every away game.,joy,joy
"glad i could help. feels good once in a while, i know the feeling.",joy,joy
watch this amazing live.ly broadcast by @its.finfin #lively #musically,joy,joy
what a time to be alive.,joy,joy
"beautiful, nice work",joy,joy
we worship at your feet\nwhere wrath and mercy meet\nand a guilty world is washed\nby love's pure stream\n—graham kendrick,joy,joy
omg make it i want to be in on the ground floor of something #invest invest,joy,joy
because they're having to compete and so we get exposed to the weakest of the bunch.,joy,disgust
"in all fairness ive said it to men, woman, and children. nobody is outside of my blind rage.",joy,anger
they are too busy getting murdered and mugged to give a crap about all these vigalantes,sadness,anger
videos on youtube bout this it's old,sadness,surprise
oh. much less exciting than the edit. we live inside the fungus.,sadness,surprise
im still starving,sadness,sadness
"eh, loser. it’s sad how some people don’t care about their relatives.",sadness,sadness
dude that was in like october abandon all hope,sadness,surprise
someone made a similar joke and got 500 down votes.,sadness,surprise
i have trophy jeans and a trophy bra! although rip my boobs because they were the one thing i liked about my body back then :),sadness,joy
disclaimer: this is r/television not r/news. sorry for the mistake.,sadness,sadness
i feel your pain 😪 i got scammed $1400 in november. i felt like a dumbass for falling for it too.,sadness,sadness
"it’s been a month in huadu — finally hoped to go out, but still can’t go anywhere.",sadness,sadness
"not an unattractive man, he’s gonna need real plastic surgery to fix that. ",sadness,disgust
sorry i should have said army.,sadness,sadness
society started going downhill at exactly the point where i became negatively affected by social change.,sadness,anger
because [name] is a man child who can’t stand up to his mother,sadness,anger
"every time i watch, i cry — nine days and nights of fire turned everything to ashes. so many lost their homes overnight. without the soldiers who fought to the end, even more would’ve been displaced. the people of xintian will never forget you.",sadness,sadness
and still our government is not responsible enough to pay its bills. it's rather pathetic.,sadness,anger
as a society we should be ashamed of the fact that this is even a question. let the suffering stop obviously.,sadness,anger
damn! i hadn’t heard about the ebay stuff.,sadness,surprise
i feel terrible for their daughter. i wouldnt want to grow up in between the middle of that.,sadness,sadness
this is garbage. no. my garbage has more compositional worth than this. hipster pepto bismol vomit looking trash.,disgust,disgust
that's awful. but i am proud of you for calling him out.,disgust,anger
"i don’t really have much to say. there’s a bad idea, and there’s straight up disgusting.",disgust,disgust
"2 is washed out, 6 and 10 are too dark. also imgur showed me a bald naked chimpanzee right after your last picture and i nearly choked. ",disgust,surprise
sticking his tongue out.... ugh,disgust,disgust
are they from a shithole or a civilized country? these are important questions.,disgust,disgust
well that isn't fucking creepy.,disgust,anger
you're creepy,disgust,disgust
> to bad everyone is to ~~weak and comfortable in their homes~~ slaving away in an open air debtor's prison to stand up to the government ftfy,disgust,anger
the next time i go to lagos i will gate crash somebody's owambe dressed in lace and gele to eat amala and shake my waist😑,disgust,surprise
making that yearly transition from excited and hopeful college returner to sick and exhausted pessimist. #college,disgust,sadness
"no, my family insists on visiting relatives every new year… and i hate it the most… we’re barely close, it’s always awkward and boring.",disgust,sadness
this bullshit doesn't even matter. signature win. [name] smells like shit and doesn't recycle.,disgust,disgust
stk is expensive but i'f rather take a bigger female there than tiff. you all see how slim she is and how she loves to eat.,disgust,disgust
"that sucks crescent city, i hope you get the guys.... ",disgust,anger
i’m not unpleasant with her.,disgust,joy
@rosalilium i'm wearing all black tomorrow to mourn. 😭💔,disgust,sadness
"not really sweaty palms, but holy hell that's uncomfortable as all hell...",disgust,fear
"me: wow today's such a good day \n*an hour later: burns food, gets sick, spills boiling hot water on myself*\nme: never mind",disgust,sadness
this is bloody disgusting.,disgust,disgust
oh yeah...family chantel!,surprise,surprise
1200? i thought it was 12000! ohhhhhhh. dr. now’s not going to be too happy with my weigh-in dis munt.,surprise,surprise
"probably, but i'm also fairly certain it's easier for a [name] to get in than an [name] or a [name].",surprise,surprise
thanks for the tip! i just watched it and now i want more insider info!,surprise,joy
that was poop on her croc.,surprise,disgust
i think they’re gonna keep her a surprise.,surprise,surprise
"and when the humane society euthanizes perfectly healthy animals, are they also doing it so that ""people can no longer use them""?",surprise,disgust
"was it the same bike on the unreleased,misc cover?",surprise,surprise
they fully divorced? i thought they were just separated for now,surprise,surprise
"sorry to hear that, i have it for ps4 and hardcore dlc servers are still up",surprise,sadness
"i like you, do you like me? please circle yes no",surprise,joy
"oh [name], house of leaves. that book is......",surprise,surprise
hahaha i was gonna put one of those but i couldn’t remember what they were,surprise,joy
what is this an excerpt from? [name] was a treasure. i should read more of his stuff.,surprise,joy
hahahaha yellow for azpi????,surprise,surprise
you can tell who is in power by who you can't criticize' = israel,surprise,anger
